Date,Display_Month,Merchant,Description,Amount_ILS,Type,Category,IsInsurance,Source
6.1.2026,ינו׳.26,‫השתלמות אס אנד,,41511.9,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
18.9.2025,אוק׳.25,השתלמות אס אנד,,32000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
25.3.2026,אפר׳.26,‫השתלמות אס אנד,,20000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
7.5.2026,מאי.26,‫השתלמות אס אנד,,19726.68,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
27.11.2025,דצמ׳.25,‫השתלמות אס אנד,,18670.57,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
24.4.2025,מאי.25,"לאומי/מדואם """"אקספר""",,16000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
19.3.2025,אפר׳.25,"לאומי/מדואם """"אקספר""",,15000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
27.5.2025,יוני.25,"לאומי/מדואם """"אקספר""",,13200,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
16.2.2025,מרץ.25,"לאומי/מדואם """"אקספר""",,10000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
10.9.2025,אוק׳.25,"לאומי/אירינה גוחבט/לקרוב משפחה""",,10000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
10.8.2025,ספט׳.25,מנורה מבטחים פנ,,9870,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
3.7.2025,יולי.25,"לאומי/מדואם """"אקספר""",,9700,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
27.5.2025,יוני.25,"לאומי/מדואם """"אקספר""",,9600,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
11.8.2025,ספט׳.25,"לאומי/מדואם """"אקספר""",,8000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
2.9.2025,ספט׳.25,"לאומי/מדואם """"אקספר""",,8000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
2.10.2025,אוק׳.25,"לאומי/מדואם """"אקספר""",,8000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
10.9.2025,אוק׳.25,מס-הכנסה החזרים,,7419,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
27.11.2025,דצמ׳.25,‫השתלמות אס אנד,,7343.97,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
11.8.2025,ספט׳.25,"לאומי/מדואם """"אקספר""",,7000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
16.11.2025,דצמ׳.25,‫לאומי/‫חן ליידרמן/‫תשלום,,5000,הכנסה,הכנסה אחרת,FALSE,Bank Yahav
14.11.2025,דצמ׳.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3407.34,הכנסה,מזונות,FALSE,Bank Yahav
15.10.2025,נוב׳.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3390.98,הכנסה,מזונות,FALSE,Bank Yahav
15.12.2025,ינו׳.26,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3390.98,הכנסה,מזונות,FALSE,Bank Yahav
15.1.2026,פבר׳.26,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3390.98,הכנסה,מזונות,FALSE,Bank Yahav
15.2.2026,מרץ.26,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3381.16,הכנסה,מזונות,FALSE,Bank Yahav
24.3.2026,אפר׳.26,‫הפועלים/‫מנדלצויג איל/‫מזונות,,3381,הכנסה,מזונות,FALSE,Bank Yahav
15.4.2026,מאי.26,‫הפועלים/‫מנדלצויג א/‫מזונות,,3381,הכנסה,מזונות,FALSE,Bank Yahav
15.1.2025,פבר׳.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3380,הכנסה,מזונות,FALSE,Bank Yahav
15.2.2025,מרץ.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3380,הכנסה,מזונות,FALSE,Bank Yahav
15.3.2025,אפר׳.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3380,הכנסה,מזונות,FALSE,Bank Yahav
15.4.2025,מאי.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3380,הכנסה,מזונות,FALSE,Bank Yahav
15.5.2025,יוני.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3380,הכנסה,מזונות,FALSE,Bank Yahav
15.6.2025,יולי.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3380,הכנסה,מזונות,FALSE,Bank Yahav
15.7.2025,אוג׳.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3380,הכנסה,מזונות,FALSE,Bank Yahav
15.8.2025,ספט׳.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3380,הכנסה,מזונות,FALSE,Bank Yahav
15.9.2025,אוק׳.25,‫הפועלים/‫מנדלצויג א/‫דמי מזונות,,3380,הכנסה,מזונות,FALSE,Bank Yahav
10.1.2025,פבר׳.25,אייל,,1876,זיכוי,"שירותי בריאות, יעוץ וטיפול",FALSE,BIT
1.1.2026,ינו׳.26,ישיר - בטוח חובה,,1397,זיכוי,ביטוח רכב,TRUE,MAX 4398
11.8.2025,ספט׳.25,בטוח לאומי חד פ,,1176,הכנסה,קצבת ילדים,FALSE,Bank Yahav
4.3.2025,מרץ.25,פסיכולוג,,1150,זיכוי,"שירותי בריאות, יעוץ וטיפול",FALSE,BIT
10.9.2025,אוק׳.25,AD CREA* AD CREA ENTER PARIS         FRA,,1116.57,זיכוי,בינה מלאכותית,FALSE,MAX 4398
